,date,review,rating,isEdited,title,userName,developerResponse
0,2022-01-14 09:50:05,"Tuy dao diện app có vẻ đơn giản nhưng rất tối ưu. Không hiển thị quá nhiều nhưng rất đầy đủ. Chuyển tiền nhanh, thông báo đầy đủ nội dung (kể cả số dư và lời nhắn). Lịch sử giao dịch rất rõ ràng. Đăng nhập nhanh, thao tác Face ID cả cảm ứng vân tay tiện lợi nên không cần nhập mật khẩu và mã nhiều lần. Mọi thứ đều được tối ưu hoá nên rất hài lòng.",5,False,Đánh giá cao,khachhangcua Tech,
1,2022-02-10 16:08:10,Không thấy hiện thẻ tín dụng???,5,False,Thẻ tín dụng,var09512,
2,2022-02-12 13:56:34,"Nhờ bên phía ngân hàng nên thêm biến động số tiền hiện có trong mỗi lần chuyển tiền hoặc được cộng tiền thêm sau khi giao dịch trong phần lịch sử giao dịch của từng lần . Ví dụ :,có 500k lịch sử giao dịch cộng 100k : tổng số tiền hiện có là 600k",4,False,Nên thêm vài,Grab Hoài,
3,2022-01-17 08:17:00,Không thấy hiện số sư khi chuyển hoặc nhận tiền. Chắc có khi lại cắt bỏ ngân hàng này chuyển ngân hàng khác thôi,1,False,Quá chán,Ngo Van Phi,
4,2022-02-23 05:06:10,Nâng cấp mà sao thấy nó k được thuận tiện hơn cái cũ là saooo? Nhìn cái app mà muốn đổi ngân hàng lun á:((((,1,False,App,Binhhhhdayyyyy,
5,2022-02-17 12:07:05,Nên có tính năng ẩn số dư tài khoản trong mục tài khoản giống như vietinbank,4,False,Bảo mật riêng tư tài khoản,dlsaccarozoo,
6,2022-02-28 04:50:28,"Không thích app mới này , không bằng app cũ , giao dịch trừ tiền không báo số dư cũ bao nhiêu và sau khi giao dịch số dư còn bao nhiêu để theo dõi",1,False,Không thấy thông báo biến động số dư,TuMan1990,
7,2022-02-25 05:14:18,Tính bảo mật. Nên để ở dạng nhập mật khẩu và mã bảo mật khi chuyển khoản như phần mềm cũ. Để tăng tính bảo mật cho tài khoản,5,False,Bảo mật không cao.,Tai Balotelli,
8,2022-03-16 10:12:04,"- Ko đủ tính năng
- Ít tính năng
- Không đồng bộ thẻ visa nên ko thể nào thanh toán thẻ thuận tiện
- Không kiểm tra đc các thẻ đang còn dư nợ bao nhiêu
- Thao tác chuyển tiền dài như 1 dòng sông- bất tiện
- PO của app đang nghĩ gì????",1,False,Ko hiểu tại sao app này lại đc phát hành???,HLS1986,
9,2022-02-24 12:12:41,Tổ sư thằng nào viết cái app này,1,False,App chán,16050511,
10,2022-04-10 02:38:16,Fast mobile đang ngon bắt ép chuyển qua xài cái app củ chuối này ko đáng nổi 1 ⭐️,1,False,Ứng dụng banking tệ hại nhất,user1848829,
11,2022-02-24 05:07:01,Chưa thấy app nào chán như cái app này. Dùng bực cả mình. Đổi làm cái gì ko biết nữa,1,False,App quá chán,hoangthuhakem,
12,2022-02-26 16:17:49,"App mới qâ tệ so vs app mới và các app khác. Sau mỗi giao dịch k thể hiện số dư biến động. Cấu hình cũng xấu, quê mùa. Trước khi xoá app chuyển qa NH khác t phải zô complain trước đó. Thân chào các bác Tech!",1,False,Không có biến động số dư,cjgxfdutcc,
13,2022-03-04 04:07:11,Thêm phần thể hiện tiền còn lại khi chuyển khoản trong mục lịch sử giao dịch nữa là ok,5,False,Tiền,ggghjuyhj,
14,2022-04-23 05:12:32,App tệ . Thường xuyên bị lỗi bảo trì các kiểu .Giao diện khó tìm hơn ap cũ . Vào app không được,3,False,-,duikn chjjjbbczcklvsyim,
15,2022-03-06 15:43:03,App này viết cho người việt hay cho người nước ngoài dùng thế? Trả lại app cũ cho tôi,3,False,App củ chuối,vuthanh1285,
16,2022-04-06 09:25:16,"Chưa từng thấy ap Internet banking nào mà lỗi nhiều như vậy, sài fast mobile đang ổn, đổi qua ap này muốn chia tay ngân hàng techcom luôn. Quá thất vọng.",1,False,Ứng dụng quá nhiều lỗi liên tục.,lequyen2409,
17,2022-02-26 00:23:09,"Úng dụng f@st mobile dễ dử dụng hơn nhiều, bố cục gọn gàng, còn techcombank mobile bố cục rườm rà khó sử dụng.",1,False,F@st mobile,vohuychuong,
18,2022-01-21 06:25:56,App thông báo lương về khá đúng và chuẩn.,5,False,Chất lượng,Ông Thuỷ Vê lốc,
19,2022-02-18 16:44:29,Ko hiện số dư khi chuyển khoản,4,False,ok,marybui6,
20,2022-01-17 02:14:19,"Mới trở thành khách hàng của Tech, app thật sự đơn giản và khác biệt!!",5,False,Khach hang moi cua TCB,phamhaduy,
21,2022-01-14 04:28:43,"One of the best app ever, highly resilient and very reliable. Also quite fast and safe.",5,False,Best app,Chris Shayan,
22,2022-04-29 04:50:01,Nên có thêm phần biến động số dư,5,False,Nên có thêm phần xoá biến động số dư,Hjjajwnnsnsjejisj,
