,reviewId,userName,review,score,thumbsUpCount,reviewCreatedVersion,date,developerResponse,ResponseDate
0,5ba4b1c0-384a-45e5-8d5e-9eb21c4f7515,Hieu Le (Hiếu mèo),Ok,5,0,7.9,2023-02-26 18:31:01,,
1,cc00b64d-4665-42e2-9ed7-e7b7dbabd778,MTH vê lốc,Vào app không được đã xoá tải lại vẩn không được,3,0,7.9,2023-02-26 17:05:16,,
2,871ffad6-1d72-4db3-bcc2-0f5d7dda78b3,Bước Lơ,Tot Tot,1,0,7.9,2023-02-26 14:41:04,,
3,ed50735e-e888-4564-9afd-0c4fee347e62,Lan Anh,Vô luôn trang VAY9 . C0M vay 0%,5,0,7.9,2023-02-26 08:40:32,,
4,7fc486be-3361-4801-840f-94c95d8edda7,Băng Trương,Llol,1,0,,2023-02-26 02:58:19,,
5,48940a09-7934-41b5-8ef3-3c58959b6928,Trung Lê Lê Lê,Android nâng câṕ ưnǵ dung,5,0,7.9,2023-02-25 22:04:26,,
6,4f3d637c-5046-443a-aa8c-d6fa848d1c9e,Sâm Nguyễn hữu,Tốt,5,0,7.9,2023-02-25 18:38:31,,
7,dc324848-5352-4a54-8781-44feb379f8c0,Trang: VayTotNhat.C0M,Vay 0% Online vô trang VayTotNhat,5,0,7.9,2023-02-25 15:25:09,,
8,b1ec25d4-5fbb-417d-8575-f098db6c1e58,Nguyễn Trần Anh Thắng,Ok,5,0,7.9,2023-02-25 10:44:24,,
9,2b2d4006-b26a-4a83-943d-59df1c49c69f,Kiều Oanh,gõ vô VAY9. C0M mà vay 0% Online,1,0,,2023-02-24 23:04:23,,
10,596dd290-1a9e-465c-a0b9-839515a78377,Ngọc Minh,Vay 0% online vô trang 𝐕𝐚𝐲𝟗. 𝐂𝟎𝐌Vay 0% online vô trang 𝐕𝐚𝐲𝟗. 𝐂𝟎𝐌 .,5,0,7.9,2023-02-24 12:59:08,,
11,8e17e369-f8de-46d7-aaae-6b31488d5cc1,Trinh VCB Hoài,Vay Online 0% thì vô VayTotNhat . C0M,5,0,7.9,2023-02-24 03:36:44,,
12,51ff5e59-be65-4674-b58b-2109f2a28d30,Minh Nguyen thanh,Ok,5,0,7.9,2023-02-23 23:32:28,,
13,ce009ce8-20b6-4391-976f-3d6be44912a2,Long Dangduylong,Ứng dụng này rất tốt,5,0,7.9,2023-02-23 15:58:56,,
14,e68c6b05-09cc-4763-b965-294ebf44bd6e,Lan Anh nè,gõ vô VAY9. C0M để vay 0% trong 9thang,5,0,,2023-02-22 18:24:42,,
15,884ab98b-a460-4166-b5aa-0488cd9454b9,Hậu Bi,Ok,5,0,,2023-02-22 16:59:13,,
16,1c4931b1-49b6-4281-851e-7c3ab1e80d65,nhut le,Tốt nè,5,0,7.9,2023-02-22 13:55:18,,
17,789231b8-afc6-42d0-8e31-f4b3f9231695,Du Lang,Tôi chán thành cam ơn nhà tại trò ứng dung nay . Tôi rất tiếc quên mất khâu không đáng nhập duoc,5,0,7.9,2023-02-22 10:09:49,,
18,f0135d27-e790-49ba-8541-a27487725b0e,VĂN HIỆN,Trước đây dùng rất tốt. Giờ thấy quá tệ còn không vào đăng nhập được,5,0,7.9,2023-02-22 06:26:19,,
19,a31cd982-0f30-406b-b35f-8c2d02df9231,Miu Miu,Good,5,0,7.9,2023-02-21 22:47:33,,
20,67752a84-c6ab-40e3-b22f-1b1524438c44,Hoài Trâm,Vay Online 0% vô VAY9. C0M,5,1,7.9,2023-02-20 09:35:25,,
21,bc96153f-910d-4c3e-9c55-f667f1aeedf8,Quyên Thanh,vay & kiếm tiền free vào KTIEN . VN,1,0,7.9,2023-02-19 07:50:37,,
22,618ee8df-5a58-4abf-88a0-1fae8b50806a,THANH HIEN,Tốt,5,0,7.9,2023-02-18 14:29:16,,
23,16452b00-5b9c-46d5-b57c-1b0e898da4aa,Hà Nguyễn,Ok,5,0,,2023-02-17 22:57:00,,
24,e8febbd9-2772-4515-a025-3e7f0c999369,Nam Nguyen tan,Ok,4,0,7.9,2023-02-17 02:05:33,,
25,28ac2810-ddad-4d0b-8e1c-872e70c0cf1d,tung bach,Sao bị lỗi hoài vậy? Ko vào phần mềm được.,3,0,7.9,2023-02-16 17:13:54,,
26,9467f04d-3d38-414d-86d4-25570b3dde3e,Thu Kiều,Vô vay 0% trang 𝐕𝐚𝐲𝟗.𝐂𝟎𝐌 trong 9thang,5,0,7.9,2023-02-16 17:05:29,,
27,bfb64454-054e-474e-a3e3-41b0f4429aae,Nga Thanh,Vay 0% + kiếm tiền 0 vốn vào KTIEN. VN nhé,1,0,7.9,2023-02-16 10:03:21,,
28,fb49a0a5-3174-433e-b00a-e6817547459b,Bl Dmx,Hay lỗi nhé,1,0,7.9,2023-02-16 05:18:57,,
