,date,developerResponse,review,rating,isEdited,userName,title
0,2021-06-30 11:21:30,"{'id': 29401208, 'body': 'VPBank cảm ơn Quý khách đã tin tưởng và sử dụng VPBank NEO. Hy vọng Quý khách tiếp tục đồng hành cùng sự phát triển của VPBank!', 'modified': '2022-04-26T10:17:36Z'}",Bản mới này rất đẹp và mượt nha hjhj,5,False,hUavgysjdns,"Đẹp, Mượt"
1,2021-07-09 11:43:31,"{'id': 29923288, 'body': 'VPBank cảm ơn Quý khách đã tin tưởng và sử dụng VPBank NEO. Hy vọng Quý khách tiếp tục đồng hành cùng sự phát triển của VPBank!', 'modified': '2022-05-24T02:54:44Z'}","Cập nhật mới với nhiều tính năng mới, hấp dẫn, sẽ nghiên cứu thêm",5,False,minhtv4,Tuyệt vời như ông mặt trời
2,2021-10-18 06:33:05,"{'id': 29420734, 'body': 'VPBank rất xin lỗi vì sự bất tiện Quý Khách đang gặp phải. Để chúng tôi có thể hỗ trợ kiểm tra và xử lý, Quý khách vui lòng tạo yêu cầu chi tiết tại https://cskh.vpbank.com.vn/#SupportQuestion/CreateTicket. Ngay sau khi nhận được yêu cầuVPBank sẽ gấp rút kiểm tra nguyên nhân và phản hồi. Cảm ơn Quý khách!', 'modified': '2022-04-27T07:16:07Z'}","Ngân hàng quá tệ. Sử dụng gây ức chế khách hàng. Chăm sóc khách hàng làm việc không chuyên nghiệp, tỏ thái độ với khách hàng.",1,False,Hong nguyen 123,Ngân hàng quá tệ.
3,2022-11-14 18:25:13,"{'id': 33192911, 'body': 'VPBank cảm ơn QK đã quan tâm và góp ý cho dịch vụ VPBank. QK vui lòng cập nhật các chương trình khuyến mại của VPBank tại fanpage VPBank (có tick xanh) hoặc trang web chính thức theo link: https://www.vpbank.com.vn/uu-dai\r\nCác nội dung không được đăng tải chính thức bởi VPBank Quý khách vui lòng cảnh giác lừa đảo và rủi ro mất tiền, xin cám ơn!\r\n', 'modified': '2022-11-16T10:06:28Z'}",Bớt lừa đảo mấy dụ đăng ký thành công nhận 500k đi nhé,1,False,46347;($gffh,.
4,2021-06-28 04:07:19,"{'id': 29401249, 'body': 'VPBank cảm ơn Quý khách đã tin tưởng và sử dụng VPBank NEO. Hy vọng Quý khách tiếp tục đồng hành cùng sự phát triển của VPBank!', 'modified': '2022-04-26T10:18:26Z'}","Bản mới này nhìn giao diện mướt mát quá. Đẹp nhất trong các ngân hàng mình dùng. Dùng cũng thấy nhanh hơn hẳn, ít bị lỗi hay quay. Nói chung là rất hài lòng.",5,False,wahoo113,Quá ngon cho 1 con app
5,2022-07-22 08:06:43,"{'id': 31074376, 'body': 'VPBank cảm ơn Quý khách đã quan tâm và góp ý cho sản phẩm dịch vụ VPBank. Với các thẻ có tính năng hoàn tiền Ngân hàng đã dừng việc hòan trực tiếp vào thẻ tín dụng và đã thông báo đến Quý khách sử dụng thẻ trước khi thay đổi. \nHiện tại tiền hoàn sẽ hoàn vào ví hoàn tiền trên VPBank NEO.\r\n\r\nQuý khách có thể kiểm tra và thực hiện hoàn tiền chủ động trên hệ thống VPBank NEO (trình duyệt web) bằng cách:\r\n\r\nBước 1: Đăng nhập VPBank NEO tại link:  https://neo.vpbank.com.vn/\r\n\r\nBước 2: Chọn “Dịch vụ thẻ” >> chọn tiếp “Hoàn tiền”\r\n\r\nBước 3: Nhập số tiền yêu cầu hoàn (>= 500,000VND) và số thẻ tín dụng muốn nhận tiền hoàn -> Xác nhận OTP và hoàn tất giao dịch.\r\n\r\nHệ thống sẽ tự động chuyển số tiền từ tài khoản tiền hoàn về thẻ tín dụng của Quý khách trong ngày làm việc.\r\n\r\nQuý Khách vui lòng tham khảo và thực hiện theo hướng dẫn hoàn tiền về thẻ tín dụng tại link: https://vpbankonline.vpbank.com.vn/huong-dan/hoan-tien-the-tin-dung/', 'modified': '2022-07-25T09:40:30Z'}","Khi làm thẻ tín dụng cam kết hoàn tiền. Nhưng càng về sau việc hoàn tiền càng không thấy tăm hơi. Không nhiều khách hàng biết là phải truy cập web mới có thể thực hiện yêu cầu hoàn tiền. Sự gây khó khăn trong việc hoàn tiền khiến người dùng nghĩ VPbank chỉ nghĩ đến việc giữ tiền của KH, không hề có tính hỗ trợ hoặc chăm lợi cho khách hàng của họ.",1,False,Sarahmai0886,VPbank gây cảm giác muốn ăn tiền của khách hàng
6,2021-06-29 11:06:35,"{'id': 29401216, 'body': 'VPBank cảm ơn Quý khách đã tin tưởng và sử dụng VPBank NEO. Hy vọng Quý khách tiếp tục đồng hành cùng sự phát triển của VPBank!', 'modified': '2022-04-26T10:17:46Z'}","Rất tiện, thao tác khá đơn giản, nhìn chung là hài lòng",5,False,thuonghtt,"Giao diện đẹp, nhiều tính năng"
7,2022-09-28 08:51:48,"{'id': 32314725, 'body': 'VPBank cảm ơn Quý khách đã quan tâm và góp ý cho VPBank NEO, thông tin này sẽ được gửi tới bộ phận kỹ thuật để làm căn cứ cải tiến và hoàn thiện ứng dụng, hy vọng Quý khách tiếp tục đồng hành cùng VPBank trong thời gian tới!', 'modified': '2022-09-30T08:10:14Z'}","Mọi người đừng dùng ngân hàng này, dịch vụ chăm sóc khách hàng tệ xong còn toàn mất phí đâu đâu rõ là đắt, chuyển sang dùng TP bank đúng 10₫, sẽ không bao giờ dùng lại ngân hàng này",1,False,anti vpbank,Ngân hàng đểu
8,2022-09-28 03:27:38,"{'id': 32314713, 'body': 'VPBank rất xin lỗi vì sự bất tiện này. Để chúng tôi có thể hỗ trợ, Quý khách vui lòng tạo yêu cầu chi tiết tại https://cskh.vpbank.com.vn/#SupportQuestion/CreateTicket. Ngoài ra, Quý khách vui lòng cảnh giác trước những cuộc gọi mao danh, không cung cấp thông tin tài khoản và OTP cho bất kỳ ai, kể cả nhân viên ngân hàng.', 'modified': '2022-09-30T08:09:59Z'}",Bên này gọi điện nhiều quá. Làm có cái thẻ mà ngày nào cũng 1 2 người gọi điện muốn điên người luôn.,1,False,norahdao95,Sale
9,2022-09-13 06:44:38,"{'id': 32027750, 'body': 'VPBank rất xin lỗi vì sự bất tiện mà Quý khách đang gặp phải khi kết nối qua tổng đài CSKH 1900545415 của VPBank. Hiện nay, số lượng cuộc gọi lên tổng đài khá lớn nên đôi lúc Quý khách kết nối không thành công do tất cả các tổng đài viên đều đang bận. Nếu cần hỗ trợ giải đáp về sản phẩm/ dịch vụ của VPBank Quý khách vui lòng tham khảo các kênh Chăm sóc Khách hàng sau, chúng tôi sẽ phản hồi và giải đáp các yêu cầu của Quý Khách sớm nhất:\r\nCổng chăm sóc KH trực tuyến: https://cskh.vpbank.com.vn/#SupportQuestion/CreateTicket \r\nGửi mail về: chamsockhachhang@vpbank.com.vn  \r\n', 'modified': '2022-09-15T04:24:33Z'}",Gặp vấn đề gọi tổng đài vpbank mấy ngày liền toàn gặp bot. Để lại tin nhắn cũng ko có người gọi lại. Haizzz,1,False,SamVeeraa,"Ngân hàng gì không có người trực sp, toàn bot"
